,Node,closeness_centrality
0,1898,0.0027819894690189906
1,620,0.0026026139150797127
2,668,0.0025913055798576653
3,35,0.002567828138027975
4,12289,0.002342895768827055
5,896,0.0023083532524572343
6,36,0.002290225096079005
7,5563,0.002242683766702276
8,34,0.002126460333507738
9,13545,0.0021093355385749042
10,23,0.0020755271518668344
11,18915,0.0020745935414689647
12,2405,0.0019828853648219155
13,3677,0.001922199550928066
14,555,0.0018728874578630287
15,183,0.001866179051522682
16,16780,0.0018523832238556298
17,13700,0.0018467184433545421
18,20846,0.001845408884870878
19,3682,0.001829346570242629
20,13117,0.0018134392087622586
21,891,0.0018075818096771289
22,6556,0.0018064856667721354
23,1869,0.0018026175160068218
24,7559,0.0018001180105045918
25,14372,0.001799962703759389
26,11309,0.0017945822614470587
27,11285,0.0017945822614470587
28,21969,0.0017920449792560487
29,11283,0.0017839791166231471
30,11333,0.0017839791166231471
31,11287,0.0017839791166231471
32,11055,0.0017815957373944972
33,11058,0.0017815957373944972
34,5125,0.0017657220204003953
35,22103,0.001763144324020249
36,22094,0.001763144324020249
37,6552,0.001763144324020249
38,11054,0.001763144324020249
39,22104,0.001763144324020249
40,22110,0.001763144324020249
41,22109,0.001763144324020249
42,22108,0.001763144324020249
43,22107,0.001763144324020249
44,22106,0.001763144324020249
45,22100,0.001763144324020249
46,22095,0.001763144324020249
47,22101,0.001763144324020249
48,22102,0.001763144324020249
49,22096,0.001763144324020249
50,22105,0.001763144324020249
51,22099,0.001763144324020249
52,22098,0.001763144324020249
53,22097,0.001763144324020249
54,981,0.0017359529574469035
55,6558,0.0017356343604809253
56,6557,0.0017356343604809253
57,1306,0.001720575199084735
58,4,0.0017074533712402036
59,4389,0.0016907952895695673
60,3122,0.001679855190539279
61,1324,0.001642715802662376
62,4451,0.0016196870764568284
63,12612,0.001582707919460097
64,6560,0.0015644959733735293
65,18570,0.0015613199746025285
66,18569,0.0015613199746025285
67,2506,0.0015587692015214911
68,536,0.0015531814068336812
69,4433,0.001527406629177174
70,4996,0.0014835331793695437
71,5693,0.0014600619067047355
72,1385,0.0014521785524041681
73,11063,0.0014361629563485608
74,438,0.001436096110695119
75,11057,0.001431117887415252
76,11056,0.001431117887415252
77,11059,0.001431117887415252
78,11060,0.001431117887415252
79,6559,0.001431117887415252
80,11061,0.001431117887415252
81,6554,0.001431117887415252
82,6564,0.001431117887415252
83,6563,0.001431117887415252
84,11062,0.001431117887415252
85,6561,0.001431117887415252
86,6555,0.001431117887415252
87,6562,0.001431117887415252
88,6553,0.001431117887415252
89,11064,0.001431117887415252
90,2508,0.0013925689924804687
91,1242,0.0013842128568144147
92,512,0.0013530436522073573
93,1403,0.001274935591991366
94,4124,0.0012668730179107174
95,11274,0.0012655654927468014
96,11275,0.0012650110743129973
97,1114,0.001256000904981593
98,1394,0.0012471683734951112
99,541,0.0012397305989908037
100,1087,0.0012326464241394276
101,6520,0.0012304108957260568
102,7724,0.0012273302871959213
103,1085,0.0012256427512749991
104,156,0.0012187182159570614
105,11279,0.001216186085479864
106,4406,0.001216186085479864
107,11254,0.001216186085479864
108,11253,0.001216186085479864
109,878,0.001209796702059771
110,11382,0.0012077109211211193
111,11374,0.0012077109211211193
112,11379,0.0012077109211211193
113,11378,0.0012077109211211193
114,11377,0.0012077109211211193
115,11376,0.0012077109211211193
116,11375,0.0012077109211211193
117,11380,0.0012077109211211193
118,11381,0.0012077109211211193
119,77,0.0012051775045337102
120,1097,0.0012051012526502786
121,1080,0.0011981685138431255
122,542,0.0011981685138431255
123,1325,0.001192874691248826
124,150,0.0011913607381962895
125,3538,0.0011882934986191436
126,244,0.001185571813326531
127,544,0.0011852369462879112
128,1086,0.001178760241663387
129,1106,0.001172353936002173
130,1522,0.001170233258115541
131,73,0.0011682500601051006
132,1083,0.0011660168876994586
133,537,0.0011535461188470581
134,529,0.0011501076499482988
135,1135,0.0011493903730130945
136,11688,0.0011486789447930834
137,538,0.0011474102352361695
138,2496,0.001143706308668438
139,1134,0.001141339281610581
140,80,0.0011397348946021748
141,1140,0.0011353322327599992
142,1099,0.0011353322327599992
143,1101,0.0011293880849445018
144,1121,0.0011293880849445018
145,71,0.001127101737615179
146,1126,0.00112605249741892
147,2504,0.0011247826919839087
148,540,0.001123505855335416
149,1096,0.001123505855335416
150,543,0.001123505855335416
151,545,0.001123505855335416
152,547,0.001123505855335416
153,15478,0.0011178679785238332
154,15477,0.0011178679785238332
155,1138,0.0011176845814735742
156,539,0.0011176845814735742
157,1400,0.001113286552382342
158,1401,0.001113286552382342
159,62,0.0011122304209500757
160,6147,0.0011121232672811642
161,1120,0.001111923320744329
162,1093,0.001111923320744329
163,1110,0.001111923320744329
164,1129,0.001111923320744329
165,1128,0.001111923320744329
166,1127,0.001111923320744329
167,1081,0.001111923320744329
168,1368,0.0011105570043677987
169,761,0.001107643955257561
170,1131,0.0011062211498687172
171,1108,0.0011062211498687172
172,1116,0.0011062211498687172
173,546,0.0011062211498687172
174,1136,0.0011062211498687172
175,2467,0.0011012510220863166
176,1117,0.0011005771644102033
177,1122,0.0011005771644102033
178,1079,0.0011005771644102033
179,1098,0.0011005771644102033
180,1139,0.0010981799108491447
181,1109,0.0010977983765578375
182,1089,0.001094990478296446
183,1130,0.001094990478296446
184,1113,0.001094990478296446
185,1090,0.001094990478296446
186,2194,0.001093886140189312
187,1092,0.001092080676679932
188,64,0.0010916258325830226
189,2479,0.0010905408226645765
190,1084,0.0010894602233555547
191,1105,0.0010894602233555547
192,1104,0.0010894602233555547
193,1404,0.0010874134411349376
194,1078,0.0010839855488663308
195,1091,0.0010839855488663308
196,1094,0.0010808221130028193
197,1111,0.0010785656211219992
198,1119,0.0010785656211219992
199,1102,0.0010785656211219992
200,1112,0.0010731996230069645
201,1115,0.0010731996230069645
202,1088,0.0010731996230069645
203,66,0.0010726388019890822
204,10968,0.0010644715014663227
205,1525,0.0010621127485349318
206,17,0.00106210042017635
207,1125,0.0010574172756098032
208,3919,0.0010527476464990946
209,1095,0.0010522591425580479
210,1118,0.0010522591425580479
211,1100,0.0010522591425580479
212,1132,0.0010522591425580479
213,74,0.0010512465075298366
214,2521,0.0010498238407006433
215,1124,0.0010471510884679605
216,1103,0.0010471510884679605
217,1137,0.0010471510884679605
218,1123,0.0010471510884679605
219,1082,0.0010471510884679605
220,1107,0.0010431815419032187
221,78,0.0010378075763843235
222,75,0.0010376995164534213
223,47,0.0010331146879565725
224,1133,0.0010329038912440737
225,1286,0.0010305675610138788
226,4283,0.0010272053534495231
227,252,0.0010247798906289681
228,1926,0.0010132163271425088
229,69,0.0010116266642812247
230,1726,0.0010082873322207484
231,30,0.0010027143836891794
232,4905,0.0009986718714092586
233,11276,0.000997766460170033
234,2123,0.000996203732963732
235,4328,0.000995388589800855
236,9820,0.0009915531232946042
237,4131,0.0009886601908511276
238,8898,0.0009882433075793246
239,76,0.0009879129813658463
