,Node,eigenvector_centrality
0,801,0.19506618984474908
1,861,0.19060383613607962
2,804,0.1656392917829023
3,791,0.16184723275034074
4,809,0.15876740385743995
5,842,0.15761819843227684
6,794,0.15009159816243045
7,824,0.14898509803617405
8,815,0.1488541241995979
9,818,0.14300744018872832
10,820,0.14276716040479895
11,855,0.14216647704683807
12,844,0.1384355125522494
13,814,0.13815622757281515
14,826,0.13410880336817657
15,792,0.13349067135182852
16,3010,0.13117464328208214
17,819,0.1262681241013469
18,843,0.12208350126255949
19,812,0.12118492063365385
20,853,0.12093682985145507
21,836,0.12065146079207976
22,845,0.11720586535686638
23,813,0.11585362638376201
24,849,0.11580024817616662
25,828,0.11390519833712782
26,869,0.11174391161152103
27,816,0.11132134391799689
28,811,0.1087686166618394
29,833,0.10872390120073398
30,825,0.10871498884072697
31,831,0.10801294711693234
32,808,0.10753843916530416
33,862,0.10666070814382797
34,868,0.10666070814382797
35,871,0.10666070814382797
36,796,0.10537157875734682
37,832,0.1014704986474271
38,3008,0.10026753112859328
39,807,0.09651740778438345
40,822,0.09348873462710647
41,854,0.09348873462710647
42,863,0.09174412056591899
43,830,0.08944131042246786
44,839,0.087604213188237
45,800,0.08590208640274674
46,803,0.0828653526336832
47,6486,0.0823905575310269
48,859,0.08170782623518227
49,3006,0.080451230895236
50,823,0.07746982518879948
51,860,0.07416142838773492
52,810,0.07416142838773492
53,817,0.07416142838773492
54,856,0.07321097453498725
55,798,0.071508847749497
56,3012,0.07117474184226558
57,841,0.06853585271846074
58,846,0.0658551535292841
59,5027,0.06575843652318958
60,3018,0.06522497668161549
61,793,0.06448842851382217
62,3973,0.06381892083656243
63,858,0.0637327589689151
64,3970,0.06122201832456526
65,12828,0.05950644236163775
66,850,0.05806829113440312
67,851,0.05434512815437764
68,5026,0.05136519786993984
69,867,0.05057527149455114
70,866,0.05057527149455114
71,821,0.05057527149455114
72,834,0.05057527149455114
73,864,0.04920854647908921
74,799,0.04920854647908921
75,829,0.04920854647908921
76,805,0.04920854647908921
77,840,0.04920854647908921
78,857,0.04920854647908921
79,802,0.04920854647908921
80,6462,0.04853903880182948
81,6482,0.04853903880182948
82,3011,0.047588584949081796
83,3972,0.044815804088566814
84,5649,0.04334249571423809
85,6490,0.04291346313255531
86,6467,0.04291346313255531
87,6492,0.04291346313255531
88,3013,0.04265451736296
89,827,0.0409022716206384
90,795,0.0409022716206384
91,1922,0.04080555461454388
92,988,0.04080555461454388
93,3962,0.04023276394337866
94,3975,0.04023276394337866
95,3016,0.03839566670914778
96,3009,0.03758248322378611
97,5891,0.03532681490819559
98,797,0.03481530782583948
99,3005,0.03433978072741185
100,3015,0.032445901548497684
101,2487,0.03181525656997726
102,837,0.03157215474655553
103,835,0.03157215474655553
104,848,0.030758971261193865
105,6474,0.02953592205383386
106,6463,0.02953592205383386
107,6471,0.02953592205383386
108,6466,0.02953592205383386
109,5025,0.028960055736371924
110,3004,0.028261278709710267
111,870,0.025622389585905445
112,865,0.025622389585905445
113,852,0.025622389585905445
114,806,0.025622389585905445
115,847,0.025622389585905445
116,838,0.025622389585905445
117,9180,0.02527707140002163
118,3007,0.025146862487477818
119,12974,0.024952881908645703
120,12993,0.024952881908645703
121,12984,0.024952881908645703
122,12975,0.024952881908645703
123,12976,0.024952881908645703
124,12977,0.024952881908645703
125,12978,0.024952881908645703
126,12980,0.024952881908645703
127,12981,0.024952881908645703
128,12982,0.024952881908645703
129,12983,0.024952881908645703
130,12979,0.024952881908645703
131,12985,0.024952881908645703
132,12992,0.024952881908645703
133,12987,0.024952881908645703
134,12988,0.024952881908645703
135,12986,0.024952881908645703
136,12989,0.024952881908645703
137,12990,0.024952881908645703
138,12991,0.024952881908645703
139,18453,0.02461388502815796
140,12829,0.024463887914659966
141,1286,0.02420486237496298
142,2493,0.024024406514130302
143,6456,0.023956513306762385
144,1389,0.023838148251215507
145,2512,0.023825569467724947
146,2479,0.023666059631973373
147,2461,0.023644977893374546
148,4305,0.02358615689318377
149,4308,0.02358615689318377
150,4304,0.02358615689318377
151,722,0.02358615689318377
152,1010,0.02358615689318377
153,6475,0.02358615689318377
154,6465,0.02358615689318377
155,6469,0.02358615689318377
156,6470,0.02358615689318377
157,6472,0.02358615689318377
158,6473,0.02358615689318377
159,6476,0.02358615689318377
160,6477,0.02358615689318377
161,6478,0.02358615689318377
162,6479,0.02358615689318377
